% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
17056	8	1	1	0	28	2196	0	1	0
17057	8	1	1	0	28	2196	0	1	0
17058	8	1	1	0	28	2196	0	1	0
18051	9	1	1	0	28	2196	0	1	0
18071	9	1	1	0	28	2196	0	1	0
18091	9	1	1	0	28	2196	0	1	0
18111	9	1	1	0	28	2196	0	1	0
18131	9	1	1	0	28	2196	0	1	0
18151	9	1	1	0	28	2196	0	1	0
18171	9	1	1	0	28	2196	0	1	0
18191	9	1	1	0	28	2196	0	1	0
18211	9	1	1	0	28	2196	0	1	0
18226	9	1	1	0	28	2196	0	1	0
18246	9	1	1	0	28	2196	0	1	0
18247	9	1	1	0	28	2196	0	1	0
18266	9	1	1	0	28	2196	0	1	0
18267	9	1	1	0	28	2196	0	1	0
18286	9	1	1	0	28	2196	0	1	0
18287	9	1	1	0	28	2196	0	1	0
18306	9	1	1	0	28	2196	0	1	0
18307	9	1	1	0	28	2196	0	1	0
18309	9	1	1	0	28	2196	0	1	0
18329	9	1	1	0	28	2196	0	1	0
18344	9	1	1	0	28	2196	0	1	0
18364	9	1	1	0	28	2196	0	1	0
18379	9	1	1	0	28	2196	0	1	0
18399	9	1	1	0	28	2196	0	1	0
18400	9	1	1	0	28	2196	0	1	0
18414	9	1	1	0	28	2196	0	1	0
18434	9	1	1	0	28	2196	0	1	0
18435	9	1	1	0	28	2196	0	1	0
18436	9	1	1	0	28	2196	0	1	0
18449	9	1	1	0	28	2196	0	1	0
18469	10	1	1	0	28	2196	0	1	0
18470	10	1	1	0	28	2196	0	1	0
18471	10	1	1	0	28	2196	0	1	0
18472	10	1	1	0	28	2196	0	1	0
18484	10	1	1	0	28	2196	0	1	0
18504	10	1	1	0	28	2196	0	1	0
18505	10	1	1	0	28	2196	0	1	0
18506	10	1	1	0	28	2196	0	1	0
18507	10	1	1	0	28	2196	0	1	0
18508	10	1	1	0	28	2196	0	1	0
