% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
2.246	1	1	225	7	1	26	1908	0
2.247	1	1	225	8	1	26	1908	0
2.249	1	1	225	10	1	28	2292	0
2.25	1	1	226	1	1	28	2292	0
2.251	1	1	226	2	1	28	2292	0
2.252	1	1	226	3	1	28	2292	0
2.253	1	1	226	4	1	28	2292	0
2.254	1	1	226	5	1	28	2292	0
2.255	1	1	226	6	1	28	2292	0
2.256	1	1	226	7	1	28	2292	0
2.257	1	1	226	8	1	28	2292	0
2.259	1	1	226	10	1	28	2292	0
2.26	1	1	227	1	1	28	2292	0
2.261	1	1	227	2	1	28	2292	0
2.262	1	1	227	3	1	28	2292	0
2.263	1	1	227	4	1	28	2292	0
2.264	1	1	227	5	1	28	2292	0
2.265	1	1	227	6	1	28	2292	0
2.266	1	1	227	7	1	28	2292	0
2.267	1	1	227	8	1	28	2292	0
2.269	1	1	227	10	1	28	2292	0
2.27	1	1	228	1	1	28	2292	0
2.271	1	1	228	2	1	28	2292	0
2.272	1	1	228	3	1	28	2292	0
2.273	1	1	228	4	1	28	2292	0
2.274	1	1	228	5	1	28	2292	0
2.275	1	1	228	6	1	28	2292	0
2.276	1	1	228	7	1	28	2292	0
2.277	1	1	228	8	1	28	2292	0
2.279	1	1	228	10	1	28	2292	0
2.28	1	1	229	1	1	28	2292	0
2.281	1	1	229	2	1	28	2292	0
2.282	1	1	229	3	1	28	2292	0
2.283	1	1	229	4	1	28	2292	0
2.284	1	1	229	5	1	28	2292	0
2.285	1	1	229	6	1	28	2292	0
2.286	1	1	229	7	1	28	2292	0
2.287	1	1	229	8	1	28	2292	0
2.289	1	1	229	10	1	28	2292	0
2.29	1	1	230	1	1	28	2292	0
2.291	1	1	230	2	1	28	2292	0
2.292	1	1	230	3	1	28	2292	0
2.293	1	1	230	4	1	28	2292	0
2.294	1	1	230	5	1	28	2292	0
2.295	1	1	230	6	1	28	2292	0
2.296	1	1	230	7	1	28	2292	0
2.297	1	1	230	8	1	28	2292	0
2.299	1	1	230	10	1	28	2292	0
2.3	1	1	231	1	1	28	2292	0
2.301	1	1	231	2	1	28	2292	0
2.302	1	1	231	3	1	28	2292	0
2.303	1	1	231	4	1	28	2292	0
2.304	1	1	231	5	1	28	2292	0
2.305	1	1	231	6	1	28	2292	0
2.306	1	1	231	7	1	28	2292	0
2.307	1	1	231	8	1	26	1908	0
2.309	1	1	231	10	1	24	1692	0
2.31	1	1	232	1	1	24	1692	0
2.311	1	1	232	2	1	22	1431	0
2.312	1	1	232	3	1	22	1431	0
2.313	1	1	232	4	1	20	1335	0
2.314	1	1	232	5	1	20	1335	0
2.315	1	1	232	6	1	20	1335	0
2.316	1	1	232	7	1	20	1335	0
2.317	1	1	232	8	1	20	1335	0
2.318	1	1	232	9	1	20	1335	0
2.319	1	1	232	10	1	20	1335	0
2.32	1	1	233	1	1	22	1431	0
2.321	1	1	233	2	1	22	1431	0
2.322	1	1	233	3	1	22	1431	0
2.323	1	1	233	4	1	22	1431	0
2.324	1	1	233	5	1	22	1431	0
2.325	1	1	233	6	1	22	1431	0
