% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
15.401	8	1	1	1445.15	0
15.441	8	1	1	3196.09	0
15.481	8	1	1	1475.19	0
15.521	8	1	1	651.422	0
15.561	8	1	1	1274.34	0
15.601	8	1	1	414.612	0
15.641	8	1	1	642.655	0
15.681	8	1	1	2312.7	0
15.721	8	1	1	1811.46	0
15.761	8	1	1	840.158	0
15.801	8	1	1	1751.36	0
15.841	8	1	1	1800.89	0
15.881	8	1	1	1320.09	0
15.921	8	1	1	3444.37	0
15.961	8	1	1	4078.85	0
16.001	8	1	1	1816.18	0
16.041	8	1	1	437.268	0
16.081	8	1	1	1481.9	0
16.121	8	1	1	1106.12	0
16.161	8	1	1	509.996	0
16.201	8	1	1	2425.33	0
16.241	8	1	1	978.799	0
16.281	8	1	1	2137.98	0
16.321	8	1	1	2277.61	0
16.361	8	1	1	335.743	0
16.401	8	1	1	2184.83	0
16.441	8	1	1	1183.05	0
16.481	8	1	1	2046.65	0
16.521	8	1	1	404.87	0
16.561	8	1	1	1350.34	0
16.601	8	1	1	1595.98	0
16.641	8	1	1	597.41	0
16.681	8	1	1	1489.39	0
16.721	8	1	1	1378.24	0
16.761	8	1	1	387.243	0
16.801	8	1	1	191.388	0
16.841	8	1	1	159.786	0
16.881	8	1	1	593.126	0
16.921	8	1	1	1364.28	0
16.961	8	1	1	1471.36	0
17.001	8	1	1	181.559	0
17.041	8	1	1	369.445	0
17.081	9	1	1	8395.15	0
17.121	9	1	1	2446.7	0
17.161	9	1	1	3341.1	0
17.201	9	1	1	1686.59	0
17.241	9	1	1	345.432	0
17.281	9	1	1	2306.07	0
17.321	9	1	1	289.932	0
17.361	9	1	1	923.321	0
17.401	9	1	1	499.689	0
17.441	9	1	1	4074.2	0
17.481	9	1	1	5750.89	0
17.521	9	1	1	3099.43	0
17.561	9	1	1	857.758	0
17.601	9	1	1	1705.45	0
17.641	9	1	1	316.463	0
17.681	9	1	1	1276.02	0
17.721	9	1	1	2531.79	0
17.761	9	1	1	517.389	0
17.801	9	1	1	742.654	0
17.841	9	1	1	1329.35	0
17.881	9	1	1	152.101	0
17.921	9	1	1	166.663	0
17.961	9	1	1	98.306	0
18.001	9	1	1	2877.66	0
18.041	9	1	1	5566.75	0
18.081	9	1	1	1868.54	0
18.121	9	1	1	2123.62	0
18.161	9	1	1	1848.28	0
18.201	9	1	1	89.5647	0
18.241	9	1	1	1382.06	0
18.281	9	1	1	353.46	0
18.321	9	1	1	460.145	0
18.361	9	1	1	336.203	0
18.401	9	1	1	1898.1	0
18.441	9	1	1	3738.51	0
18.481	10	1	1	1198.95	0
18.521	10	1	1	955.157	0
18.561	10	1	1	3137.71	0
18.601	10	1	1	2097.83	0
18.641	10	1	1	1154.42	0
18.681	10	1	1	2477.57	0
18.721	10	1	1	2433.47	0
18.761	10	1	1	1907.99	0
18.801	10	1	1	5033.55	0
18.841	10	1	1	5662.92	0
18.881	10	1	1	1345.07	0
18.921	10	1	1	935.567	0
18.961	10	1	1	3031.14	0
19.001	10	1	1	769.906	0
19.041	10	1	1	2325.96	0
19.081	10	1	1	5168.73	0
19.121	10	1	1	1998.52	0
19.161	10	1	1	1911.84	0
19.201	10	1	1	3350.67	0
19.241	10	1	1	1680.83	0
19.281	10	1	1	525.482	0
19.321	10	1	1	2308.04	0
19.361	10	1	1	6197.89	0
19.401	10	1	1	3102.4	0
19.441	10	1	1	360.193	0
19.481	10	1	1	2754.92	0
19.521	10	1	1	902.774	0
19.561	10	1	1	258.936	0
19.601	10	1	1	157.092	0
19.641	10	1	1	92.7872	0
19.681	10	1	1	83.9863	0
19.721	10	1	1	173.246	0
19.761	10	1	1	330.89	0
19.801	10	1	1	199.404	0
19.841	10	1	1	630.806	0
19.881	10	1	1	424.489	0
19.921	10	1	1	596.688	0
19.961	10	1	1	1133.28	0
